keys,zh,en,ja
EVO_STAT_G,持续过载,Sustained G,持続G
EVO_STAT_ROLL,滚转速率,Roll rate,ロール率
EVO_STAT_RADAR,雷达范围,Radar range,レーダー範囲
EVO_STAT_LOCK,锁定时间,Lock time,ロック時間
EVO_STAT_MISSILE,导弹挂载,Missile load,ミサイル搭載
LEVEL_UP_TOAST_FMT,LV %d — 进化解锁进度已累计,LV %d — evolution unlock progress,LV %d — 進化解放が進行
EVOLUTION_SUBTITLE_FMT,王牌 %s — 选择进化路线（僚机将跟随）,Ace %s — choose an evolution (wingmen follow),エース %s — 進化先を選択（僚機は追従）
EVOLUTION_SKIP,暂不进化,Not now,今回は見送る
EVOLUTION_LOCKED_FMT,需要 LV %d,Requires LV %d,LV %d が必要
EVOLUTION_DONE_FMT,全队进化 → %s,Squad evolved → %s,編隊が進化 → %s
EVOLUTION_CAT_AIR,制空,Air superiority,制空
EVOLUTION_CAT_EW,电战,Electronic warfare,電子戦
EVOLUTION_CAT_RANGE,远程,Long range,長距離
EVOLUTION_CAT_ATTACK,攻击,Attack,攻撃
EVOLUTION_CAT_OMNI,全能,Omni-role,万能
AIRCRAFT_A10_DISPLAY,A-10 疣猪,A-10 Warthog,A-10 ウォートホッグ
AIRCRAFT_F15_DISPLAY,F-15 鹰,F-15 Eagle,F-15 イーグル
AIRCRAFT_F15_CARDDESC,重型双发制空基底。综合全面、上手友好，进化路线最多的起手之选。,"Heavy twin-engine air-superiority base. Well-rounded, beginner-friendly, with the most evolution routes.",重量級双発制空戦闘機。バランス型で扱いやすく、進化ルートが最も多い入門機。
AIRCRAFT_F22_DISPLAY,F-22 猛禽,F-22 Raptor,F-22 ラプター
AIRCRAFT_F35_DISPLAY,F-35 闪电II,F-35 Lightning II,F-35 ライトニングII
AIRCRAFT_MIG31_DISPLAY,MiG-31 猎狐犬,MiG-31 Foxhound,MiG-31 フォックスハウンド
AIRCRAFT_SU34_DISPLAY,Su-34 鸭嘴兽,Su-34 Fullback,Su-34 フルバック
AIRCRAFT_X09_DISPLAY,X-09 雷霆鸮,X-09 Thunder Owl,X-09 サンダーアウル
AIRCRAFT_X13_DISPLAY,X-13 苍隼,X-13 Skyfalcon,X-13 スカイファルコン
AIRCRAFT_X21_DISPLAY,X-21 长缨,X-21 Longreach,X-21 ロングリーチ
AIRCRAFT_X44_DISPLAY,X-44 铁砧,X-44 Anvil,X-44 アンヴィル
AIRCRAFT_F16_DISPLAY,F-16C Block 50,F-16C Block 50,F-16C Block 50
AIRCRAFT_F16_CARDDESC,多用途战斗机。携带热诱弹可 100% 规避来袭导弹，攻守兼备的入门之选。,Multirole fighter. Flares grant 100% evasion on incoming missiles. A balanced starter pick.,マルチロール戦闘機。フレアで来襲ミサイルを100%回避可能、攻守バランスの入門機。
AIRCRAFT_F14_DISPLAY,F-14A Ghost,F-14A Ghost,F-14A Ghost
AIRCRAFT_F14_CARDDESC,"「Anytime, baby!」舰载重型截击机。与 1 架僚机组成双机编队入场，但单机性能弱于 F-16：导弹/热诱弹/机炮均缩水，机动性较差，需依赖双机配合。","""Anytime, baby!"" Carrier-based heavy interceptor. Deploys as a two-ship formation with 1 wingman but underperforms the F-16 solo: fewer missiles/flares, weaker gun, lower agility — two-ship coordination is essential.",「いつでもどうぞ！」艦載重戦闘機。僚機1機との2機編隊で出撃するが、単機性能は F-16 に劣る：ミサイル・フレア・ガンいずれも減量、機動性も低め、2機連携が鍵。
TAG_HEAT_FLARE,热诱弹,Flares,フレア
TAG_BALANCED_MANEUVER,均衡机动,Balanced,均衡機動
TAG_SARH_MISSILE,SARH 导弹,SARH Missile,SARH ミサイル
TAG_SQUAD_LEADER,小队主控,Squad Leader,小隊長
TAG_HEAVY_INTERCEPT,重型截击,Heavy Interceptor,重迎撃機
TAG_LOCKED,未解锁,Locked,未解放
TAG_PLAIN,平原,Plains,平原
TAG_COAST,海岸,Coast,海岸
TAG_HILLS,丘陵,Hills,丘陵
TAG_DESERT,沙漠,Desert,砂漠
TAG_RAILWAY,铁路,Railway,鉄道
TAG_OCEAN,海洋,Ocean,海洋
TAG_ISLANDS,群岛,Islands,島嶼
TAG_PREVIEW,预览,Preview,プレビュー
TAG_TBA,未解锁,Locked,未解放
MAP_DEFAULT_NAME,海岸线,Coastal,海岸線
MAP_DESERT_RAILWAY_NAME,赤土铁路,Red Dune Railway,赤土鉄道
MAP_DESERT_RAILWAY_DESC,空地图预览：沙漠铁路、矿区、盐碱地与工业节点。,"Empty-map preview: desert railway, mines, salt flats, and industrial anchors.",空マッププレビュー：砂漠鉄道・鉱区・塩原・工業拠点。
MAP_OCEAN_ISLANDS_NAME,铁底群岛,Ironbottom Islands,鉄底諸島
MAP_OCEAN_ISLANDS_DESC,空地图预览：开放海域、主岛、外海锚点岛与港区。,"Empty-map preview: open sea, a main island, offshore anchors, and harbors.",空マッププレビュー：外洋・主島・沖合の島・港湾。
MAP_DEFAULT_DESC,默认作战区域。多样的海岸与内陆地形，适合熟悉机型与战术。,Default combat zone. Diverse coastal and inland terrain for learning aircraft and tactics.,デフォルト作戦区域。多彩な海岸・内陸地形、機体と戦術に慣れるのに最適。
AIRCRAFT_SELECT_TITLE,[ 选择机型 ],[ Select Aircraft ],[ 機体選択 ]
AIRCRAFT_SELECT_SUBTITLE,生存模式  //  SURVIVAL MODE,SURVIVAL MODE,サバイバル  //  SURVIVAL MODE
AIRCRAFT_SELECT_HINT_ESC,ESC 返回地图选择,ESC to return to map select,ESC でマップ選択へ
AIRCRAFT_SELECT_LAUNCH_BUTTON,出  击,L A U N C H,出   撃
AIRCRAFT_STATS_FMT,HP %d  |  速度 %d km/h  |  G %.0f  |  导弹 %d,HP %d  |  Speed %d km/h  |  G %.0f  |  Missiles %d,HP %d  |  速度 %d km/h  |  G %.0f  |  ミサイル %d
TACTICAL_MAP_TITLE,[ 战术地图 ],[ TACTICAL MAP ],[ 戦術マップ ]
TACTICAL_MAP_SUBTITLE,海岸线 // 30 × 30 km,COASTLINE // 30 × 30 km,海岸線 // 30 × 30 km
TACTICAL_MAP_HINT,TAB / ESC 关闭,TAB / ESC to close,TAB / ESC で閉じる
ZONE_A_NAME,未来港,Future Harbor,未来港
ZONE_B_NAME,湾北区,North Bay,湾北エリア
ZONE_C_NAME,海滨公园,Seaside Park,海浜公園
ZONE_D_NAME,君津山区,Kimitsu Hills,君津丘陵
ZONE_E_NAME,中央海域,Central Waters,中央海域
ZONE_BOSS_NAME,BOSS 决战地点,BOSS Showdown,BOSS 決戦地
ZONE_STATE_AVAILABLE,可选,Available,選択可能
ZONE_STATE_SELECTED,已选（前往中）,Selected (en route),選択中（移動中）
ZONE_STATE_CLEARED,已攻克,Cleared,攻略済
ZONE_STATE_LOCKED,锁定,Locked,ロック中
ZONE_INFO_STATE,状态,Status,状態
ZONE_INFO_REWARD,奖励提示,Reward Preview,報酬プレビュー
ZONE_INFO_MISSION,任务,Mission,ミッション
ZONE_REWARD_PLACEHOLDER,※ 随机进化技能（P3 未实装）,※ Random evolution skill (P3 pending),※ ランダム進化スキル（P3 未実装）
ZONE_MISSION_PLACEHOLDER,※ 清剿战区内地面单位（SAM/AA）,※ Clear ground units inside the zone (SAM/AA),※ エリア内の地上目標を殲滅 (SAM/AA)
ZONE_CLICK_TO_SELECT,>> 点击选择 <<,>> CLICK TO SELECT <<,>> クリックして選択 <<
TACTICAL_MAP_INFO_TITLE,战区简报,ZONE BRIEFING,エリア概況
TACTICAL_MAP_INFO_BODY,把鼠标悬停在战区上查看奖励和任务信息。\n前 3 个战区攻克后，BOSS 决战点解锁。,Hover a zone to see rewards and mission details.\nBoss unlocks after 3 zones are cleared.,エリアにマウスをかざすと報酬とミッションが表示されます。\n3エリア攻略後にBOSS決戦が解放されます。
TACTICAL_MAP_UPGRADES_TITLE,已激活技能,ACTIVE UPGRADES,習得スキル
TACTICAL_MAP_WEAPONS_TITLE,ACE 特殊武器,ACE SPECIAL WEAPONS,ACE 特殊武装
TACTICAL_MAP_UPGRADES_HINT,详情,DETAILS,詳細
TACTICAL_MAP_UPGRADES_HOVER_HINT,鼠标悬停技能查看详情,Hover a skill to see details,スキルにカーソルを合わせると詳細表示
TACTICAL_MAP_UPGRADES_EMPTY,暂无已激活技能。升级或攻克战区以获得技能。,No upgrades yet. Level up or clear zones to acquire skills.,習得スキルなし。レベルアップやエリア攻略で習得
ZONE_HINT_NEW_OPENED,⚡ 新战区已开放 — 按 [Tab] 打开战术地图选择目标,⚡ NEW ZONE OPEN — Press [Tab] to open the tactical map,⚡ 新エリア開放 — [Tab] で戦術マップを開いて選択
BOSS_ZONE_READY,⚠ 战区取消 — 前往中央迎击 BOSS,⚠ Warzones cancelled — head to center for BOSS,⚠ エリア中止 — 中央へ向かいBOSS迎撃
ZONE_REWARD_TAG,战区奖励,ZONE REWARD,戦域報酬
ZONE_REWARD_HINT_MISSILE,※ 这是一个强化导弹性能的技能,※ A missile performance upgrade,※ ミサイル性能を強化するスキル
ZONE_REWARD_HINT_GUN,※ 这是一个强化机炮性能的技能,※ A gun performance upgrade,※ ガン性能を強化するスキル
ZONE_REWARD_HINT_FLARE,※ 这是一个强化电子对抗/热诱弹的技能,※ An ECM / flare upgrade,※ ECM / フレア強化スキル
ZONE_REWARD_HINT_SURVIVAL,※ 这是一个强化生存能力的技能,※ A survivability upgrade,※ 生存力強化スキル
ZONE_REWARD_HINT_UNKNOWN,※ 未知奖励,※ Unknown reward,※ 不明な報酬
ZONE_REWARD_BOMBER_XP_FMT,特殊经验 +%d,SPECIAL XP +%d,特別XP +%d
ZONE_REWARD_BOMBER_XP_DESC,护送成功后直接获得；替代普通战区奖励且不与之叠加。,Granted directly on escort success; replaces the normal zone reward.,護衛成功時に直接獲得。通常の戦域報酬とは重複せず置き換わる。
ZONE_REWARD_ALREADY_GRANTED,※ 奖励已发放,※ Reward already granted,※ 報酬獲得済
ZONE_MISSION_STARTED_FMT,⚔ 战区 %s 任务开始 — 清剿地面单位,⚔ ZONE %s — ENGAGE GROUND UNITS,⚔ エリア %s 開戦 — 地上目標を殲滅
ZONE_MISSION_STARTED_AIR_FMT,⚔ 战区 %s 任务开始 — 歼灭敌方中队,⚔ ZONE %s — DESTROY ENEMY SQUADRON,⚔ エリア %s 開戦 — 敵中隊を撃墜
ZONE_MISSION_STARTED_SQUADRON_FMT,⚔ 战区 %s 任务开始 — 击败敌方中队,⚔ ZONE %s — DEFEAT ENEMY SQUADRON,⚔ エリア %s 開戦 — 敵中隊を撃破
ZONE_MISSION_STARTED_NAVAL_FMT,⚔ 战区 %s 任务开始 — 击毁全部舰艇,⚔ ZONE %s — DESTROY ALL FLEET TARGETS,⚔ エリア %s 開戦 — 全艦艇目標を撃沈
TIER3_PROFILE_SUPER_CANNON,极光长枪,AURORA LANCE,オーロラ・ランス
TIER3_PROFILE_SIEGE_TANK,沙漠攻城坦克,DESERT SIEGE TANK,砂漠攻城戦車
TIER3_PROFILE_LONG_RANGE_VLS,远程 VLS 舰队,LONG-RANGE VLS FLEET,長射程VLS艦隊
TIER3_PROFILE_DEADAIR,DEADAIR 干扰支援机,DEADAIR JAM SUPPORT,DEADAIR妨害支援機
TIER3_PROFILE_UNKNOWN,未知高威胁来源,UNKNOWN HIGH-THREAT SOURCE,不明な高脅威源
TIER3_THREAT_ACTIVE_FMT,⚠ 3★ 全局威胁：战区 %s // %s 仍在运作,⚠ 3-STAR GLOBAL THREAT: ZONE %s // %s ACTIVE,⚠ 3★広域脅威：エリア %s // %s 作動中
TIER3_THREAT_NEUTRALIZED_FMT,✓ 战区 %s 的全局威胁已解除：%s；继续清空全部 TGT,✓ ZONE %s GLOBAL THREAT NEUTRALIZED: %s; CLEAR ALL REMAINING TGTs,✓ エリア %s の広域脅威を無力化：%s；残存TGTを全滅せよ
ZONE_MISSION_STARTED_BOMBER_ESCORT_FMT,⚔ 可选战区任务 %s — 护送轰炸机完成投弹（150秒）,⚔ OPTIONAL ZONE MISSION %s — ESCORT BOMBERS TO TARGET (150 SEC),⚔ 任意戦域ミッション %s — 爆撃隊を目標まで護衛（150秒）
ZONE_OPTIONAL_MISSION_TAG,可选战区任务,OPTIONAL ZONE MISSION,任意戦域ミッション
ZONE_OPTIONAL_MISSION_TAG_SHORT,可选任务,OPTIONAL,任意任務
ZONE_OPTIONAL_BOMBER_ESCORT_NAME,轰炸机护送,BOMBER ESCORT,爆撃隊護衛
ZONE_CLEARED_FMT,✓ 战区 %s 已攻克,✓ ZONE %s CLEARED,✓ エリア %s 攻略完了
ZONE_MISSION_FAILED_FMT,✕ 战区 %s 任务失败,✕ ZONE %s MISSION FAILED,✕ エリア %s 作戦失敗
ZONE_OPTIONAL_MISSION_FAILED_FMT,✕ 可选战区任务 %s 失败,✕ OPTIONAL ZONE MISSION %s FAILED,✕ 任意戦域ミッション %s 失敗
ZONE_BOMBER_FORMATION_ABORTED_FMT,✕ 轰炸编队中止 %s 打击任务并脱离战区,✕ BOMBER FORMATION ABORTED THE STRIKE IN ZONE %s AND IS WITHDRAWING,✕ 爆撃編隊はエリア %s の攻撃任務を中止し戦域より離脱
ZONE_CLEARED_WITH_REWARD_FMT,✓ 战区 %s 已攻克 — 获得奖励：%s,✓ ZONE %s CLEARED — REWARD: %s,✓ エリア %s 攻略完了 — 報酬: %s
ZONE_CLEARED_BOMBER_XP_FMT,✓ 可选战区任务 %s 护送成功 — 特殊经验 +%d,✓ OPTIONAL ZONE MISSION %s SUCCESS — SPECIAL XP +%d,✓ 任意戦域ミッション %s 護衛成功 — 特別XP +%d
ZONE_REFRESHED_AFTER_CLEAR,⚡ 其他战区敌情升级 — 敌人已换防,⚡ OTHER ZONES REINFORCED — Enemies rotated,⚡ 他エリア敵勢力強化 — 敵部隊交代
ZONE_HINT_BOSS_UNLOCKED,★ BOSS 区域已出现 — 打开战术面板查看位置,★ BOSS ZONE DETECTED — Open Tactical Map to confirm,★ BOSS 区域出現 — タクティカルマップで確認せよ
ZONE_HINT_BOSS_ARRIVAL,⚔ BOSS 进入战场,⚔ BOSS has entered the battlefield,⚔ BOSS 戦場進入
ADBS_TUTORIAL_BOMBERS,⚠ 雷达捕获：2 架敌方轰炸机正前方！击落获取首笔奖励,⚠ CONTACT: 2 enemy bombers dead ahead — shoot them down for the first kill,⚠ レーダー捕捉：前方に敵爆撃機2機 — 撃墜で初報酬
ADBS_CITY_HELIS_FMT,⚠ 城区上空：敌方直升机编队向 %s 方向逃离——全歼可延长作战时间,⚠ CITY ALERT: Enemy heli flight fleeing %s — wipe them out to extend mission time,⚠ 都市上空：敵ヘリ編隊が %s 方向へ逃走——全滅で作戦時間延長
ADBS_CITY_HELIS_CLEARED_FMT,运输队全歼——作战时间 +%d 秒,Transport flight destroyed — mission time +%ds,輸送隊全滅——作戦時間 +%d秒
ZONE_INFO_DIFFICULTY,难度,Difficulty,難易度
ZONE_INFO_TIER3_GLOBAL_THREAT,⚠ 全局威胁：高威胁来源被摧毁后效果消失；任务仍需清空全部 TGT,⚠ GLOBAL THREAT: Destroying the high-threat source removes its effect; all TGTs are still required,⚠ 広域脅威：高脅威源の撃破で効果は消えるが、任務には全TGTの殲滅が必要
ZONE_MISSION_GROUND,※ 摧毁战区内全部地面 TGT（SAM / AA / 雷达）,※ Destroy every ground TGT in the zone (SAM / AA / radar),※ 戦域内の地上TGTを全て破壊せよ（SAM / AA / レーダー）
ZONE_MISSION_AIR,※ 歼灭盘旋在战区上空的敌方中队,※ Destroy the enemy squadron patrolling the zone,※ 上空を警戒する敵飛行隊を撃墜
ZONE_MISSION_SQUADRON,※ 击败锁定战区的敌方中队,※ Defeat the enemy squadron holding the zone,※ エリアを制圧中の敵中隊を撃破
ZONE_MISSION_NAVAL,※ 击毁战区内全部敌方舰艇,※ Destroy every hostile vessel in the zone,※ 戦域内の敵艦艇を全て撃沈せよ
ZONE_MISSION_BOMBER_ESCORT,※ 护送轰炸机沿标定航线摧毁战略目标,※ Escort the bombers along the marked route and destroy the strategic target,※ 指定航路で爆撃隊を護衛し戦略目標を破壊せよ
ZONE_MISSION_BOSS,※ 击溃来袭的 BOSS 部队,※ Destroy the incoming BOSS force,※ 襲来する BOSS 部隊を撃破せよ
ZONE_MISSION_AIRFIELD,※ 解放机场：摧毁驻守的地面防空（SAM / AA）,※ Liberate the airfield: destroy the ground air-defenses (SAM / AA),※ 飛行場を解放せよ：地上防空(SAM / AA)を破壊
ZONE_MISSION_TIER3_SUPER_CANNON,※ 摧毁极光长枪并清空全部守军；它会随机瞄准长机或僚机且整条预警带同时受击，近身后无法反击,"※ Destroy AURORA LANCE and clear every defender; it randomly targets the lead or a wingman and strikes the entire warning lane at once, but cannot fight at close range",※ オーロラ・ランスと全守備隊を撃破せよ；長機または僚機を無作為に狙い警告帯全域を同時攻撃するが近距離では反撃不能
ZONE_MISSION_TIER3_SIEGE_TANK,※ 摧毁攻城坦克并清空全部守军；注意 2×CIWS、长射程 SAM、空爆炮及对地主炮,"※ Destroy the siege tank and clear every defender; beware its 2×CIWS, long-range SAM, airburst gun, and ground-attack main cannon",※ 攻城戦車を破壊し全守備隊を殲滅せよ；2基のCIWS、長射程SAM、空中炸裂砲、対地主砲に注意
ZONE_MISSION_TIER3_LONG_RANGE_VLS,※ 击毁全部敌方舰艇；远程 VLS 可从战区外发动攻击,"※ Sink every hostile vessel; the long-range VLS can attack beyond the zone",※ 敵艦艇を全て撃沈せよ；長射程VLSは戦域外から攻撃可能
ZONE_MISSION_TIER3_DEADAIR,※ 击落 DEADAIR 干扰支援机并歼灭全部护航；来源被毁后其 JAM 效果立即消失,"※ Shoot down the DEADAIR jammer and destroy every escort; its JAM effect ends immediately when the source is destroyed",※ DEADAIR妨害支援機と全護衛機を撃墜せよ；発生源の破壊と同時にJAM効果は消失する
ZONE_MISSION_STARTED_TIER3_SUPER_CANNON_FMT,⚠ 战区 %s — 摧毁极光长枪并清空守军,⚠ ZONE %s — DESTROY AURORA LANCE AND CLEAR ITS DEFENDERS,⚠ エリア %s — オーロラ・ランスと全守備隊を撃破せよ
ZONE_MISSION_STARTED_TIER3_SIEGE_TANK_FMT,⚠ 战区 %s — 摧毁攻城坦克并清空守军,⚠ ZONE %s — DESTROY THE SIEGE TANK AND CLEAR ITS DEFENDERS,⚠ エリア %s — 攻城戦車と全守備隊を撃破せよ
ZONE_MISSION_STARTED_TIER3_LONG_RANGE_VLS_FMT,⚠ 战区 %s — 击毁全部远程 VLS 舰艇,⚠ ZONE %s — DESTROY ALL LONG-RANGE VLS VESSELS,⚠ エリア %s — 長射程VLS艦を全て撃沈せよ
ZONE_MISSION_STARTED_TIER3_DEADAIR_FMT,⚠ 战区 %s — 击落 DEADAIR 干扰机及全部护航,⚠ ZONE %s — DESTROY THE DEADAIR JAMMER AND ALL ESCORTS,⚠ エリア %s — DEADAIR妨害機と全護衛機を撃墜せよ
ZONE_BOMBER_STATUS_TITLE,轰炸任务状态,BOMBER MISSION STATUS,爆撃任務ステータス
ZONE_BOMBER_TARGET_HP,目标 HP,TARGET HP,目標 HP
ZONE_BOMBER_TIME_LEFT,剩余时间,TIME LEFT,残り時間
ZONE_BOMBER_BOMBERS,轰炸机,BOMBERS,爆撃機
ZONE_BOMBER_ESCORTS,护航机,ESCORTS,護衛機
ZONE_BOMBER_INTERCEPTORS,敌方截击机,HOSTILE INTERCEPTORS,敵迎撃機
ZONE_BOMBER_PHASE,航段,LEG,航程
ZONE_BOMBER_PHASE_STANDBY,等待入场,STANDBY,進入待機
ZONE_BOMBER_PHASE_INGRESS,航线进入,INGRESS,進入中
ZONE_BOMBER_PHASE_LINE_UP,对正目标,LINE UP,目標整列
ZONE_BOMBER_PHASE_RELEASE,投弹,BOMB RELEASE,投弾
ZONE_BOMBER_PHASE_EGRESS,撤离,EGRESS,離脱
ZONE_BOMBER_PHASE_LOST,编队失联,FLIGHT LOST,編隊喪失
BOMBER_TARGET_WORLD_LABEL,轰炸目标,BOMBING TARGET,爆撃目標
BOMBER_TARGET_WORLD_HINT,仅轰炸机攻击有效,BOMBER ATTACK ONLY,爆撃機攻撃のみ有効
ZONE_REWARD_AIRFIELD,机场开放补给（回血 / 进化 / 僚机）,Airfield opens for resupply (repair / evolution / wingman),飛行場が補給開放（回復 / 進化 / 僚機）
ZONE_AIRFIELD_LIBERATED_FMT,✓ %s 已解放 — 机场开放补给,✓ %s LIBERATED — airfield open for resupply,✓ %s 解放完了 — 飛行場が補給開放
PLAYER_OFFSCREEN_HINT,切回主视角,Recenter on player,主視点に戻る
TACTICAL_TIP_PREFIX,// 战场简报,// INTEL BRIEF,// 戦場情報
TACTICAL_TIP_BOUNDARY,接近战区边界可进行补给并恢复生命值，但会加速时间流逝。敌方强度将随时间同步提高。,"Approaching a warzone boundary enables resupply and restores health, but accelerates the passage of time. Enemy strength increases with that elapsed time.",戦区境界へ接近すると補給と耐久回復が可能になるが、時間の進行が加速する。敵戦力も経過時間に応じて強化される。
TACTICAL_TIP_DIFFICULTY,敌方单位的数量与作战能力会随时间逐步提高。持续延误将增加后续战区与 BOSS 阶段的压力。,Enemy numbers and combat capability increase over time. Continued delays raise the pressure in later warzones and the boss phase.,敵ユニットの数と戦闘能力は時間とともに上昇する。遅延が続くほど、後続戦区と BOSS フェーズの圧力が高まる。
TACTICAL_TIP_WEAPON_SWAP,按 \[T\] 切换导弹或机炮优先级。导弹弹药耗尽后，系统会自动切换至机炮模式。,"Press [T] to switch between missile and gun priority. When missile ammunition is depleted, the system automatically switches to gun mode.",[T] でミサイルまたはガンの優先度を切り替える。ミサイル弾薬が尽きると、自動的にガンモードへ移行する。
TACTICAL_TIP_FLARE,受到导弹威胁时，飞机会自动释放热诱弹。在热诱弹生效窗口内，来袭导弹的命中将被抵消。,Aircraft automatically deploy flares when threatened by a missile. A missile hit during the active flare window is negated.,ミサイル脅威を受けると、機体は自動的にフレアを放出する。フレアの有効時間内に受けたミサイル命中は無効化される。
TACTICAL_TIP_ALT_HIGH,高空空气密度较低，飞机可获得更高最大速度和更远雷达距离，同时更难被低空雷达锁定。,Lower air density at high altitude allows a higher maximum speed and longer radar range while making the aircraft more difficult for low-altitude radar to lock.,高高度では空気密度が低く、最大速度とレーダー距離が向上する。また、低空レーダーからロックされにくくなる。
TACTICAL_TIP_ALT_LOW,低空空气密度较高，最大速度较低，但更难被远距离雷达锁定。从高空俯冲时可在短时间内保留额外速度。,Higher air density at low altitude reduces maximum speed but makes long-range radar locks more difficult. A dive from high altitude preserves additional speed for a short time.,低高度では空気密度が高く、最大速度は低下するが、遠距離レーダーからロックされにくい。高高度から降下すると、短時間だけ追加速度を維持できる。
TACTICAL_TIP_ALT_CLOUDS,进入云层后，敌方雷达将失去目标信息。云层同时会缩短有效接触距离，应注意突然发生的近距迎头交战。,"Enemy radar loses target information inside clouds. Clouds also reduce effective contact distance, increasing the risk of sudden close-range head-on engagements.",雲層内では敵レーダーが目標情報を失う。同時に有効接触距離も短くなるため、近距離で突然正面交戦が発生する可能性がある。
TACTICAL_TIP_SENTINEL,Sentinel 可强化作用范围内的 MQ-109，并可能指挥其实施自毁攻击。优先摧毁指挥机可削弱附近无人机编队。,Sentinel strengthens MQ-109 units within its area of effect and may direct them to conduct self-destruct attacks. Destroying the command aircraft first weakens the nearby drone formation.,Sentinel は効果範囲内の MQ-109 を強化し、自爆攻撃を指示する場合がある。指揮機を優先して撃破すると、周辺の無人機編隊を弱体化できる。
TACTICAL_TIP_STAMINA,持续高 G 机动会消耗飞行员耐力。耐力耗尽后可用 G 力大幅下降，留点时间给它恢复。,"Sustained high-G maneuvers drain pilot stamina. Once exhausted, max G drops sharply — give it time to recover.",高G機動の継続はパイロットの耐久を削る。尽きると使用可能Gが大幅低下、回復の時間を確保せよ。
TACTICAL_TIP_TURN_RADIUS,转弯半径与速度的平方成正比，并随可用过载提高而缩小。适当减速通常比继续增加过载更有利于近距跟踪。,"Turn radius increases with the square of speed and decreases as available G increases. In close tracking, controlled deceleration is often more effective than applying additional G.",旋回半径は速度の二乗に比例し、使用可能な G が高いほど小さくなる。近距離追従では、さらに G を加えるより適切に減速する方が有効な場合が多い。
TACTICAL_TIP_CORNER_SPEED,每架飞机均有对应的角点速度，在该速度附近可获得最高转弯率。速度过高或过低都会降低持续转弯效率。,Each aircraft has a defined corner speed. Near this speed it achieves its highest turn rate; speeds above or below it reduce sustained turning efficiency.,各機体には固有のコーナー速度があり、その付近で最高の旋回率を得られる。速度が高すぎても低すぎても、持続旋回効率は低下する。
